Messages,Number_of_replies,message,num_reply,Message
"Welcome to ""Citizens Last"" Contest! Who will win this year?",0,NA,NA,NA
What's a good bar to meet girls? I'm visiting and don't know any places,4,NA,NA,NA
"""Do you smoke weed"" is not a pickup line please stop using it as one.",2,NA,NA,NA
"Dear nerds stay away from feminist and leftist women . They will manipulate you and hurt you , if you don't believe me test them . they're only in it for the money , I guarantee it",37,NA,NA,NA
I've always been attracted to black women and how independent they are.,8,NA,NA,NA
I banged a seriously bad bitch today. Props to you ladies who know how to give sloppy head and a good deep throat,0,NA,NA,NA
My mom just asked me if I'm down to live in Canada,19,NA,NA,NA
I think im gay...,22,NA,NA,NA
Any good hip hop clubs open tonight?,10,NA,NA,NA
Anybody going to see Bakermat at Folsom next week?,3,NA,NA,NA
I want to suck a dick just for practice,24,NA,NA,NA
Eat cow not pussy,4,NA,NA,NA
Anyone selling weed around here?? I need a gram,6,NA,NA,NA
It's not like you to say sorry. I was waiting on a different story.,1,NA,NA,NA
Where are all the half Asian fam at?,9,NA,NA,NA
Why does tinder suck here in Berkeley now? None of the cute half Asian girls will match with me lol,6,NA,NA,NA
Anyone selling any 25+ gallon fish tanks or any aquarium supplies in the area?,10,NA,NA,NA
Bumped into JaRule. Met Raven Simone. Took a piss next to Redman. Holy shit!!,5,NA,NA,NA
"Ladies, when a guy says ""I'm close,"" that does not mean to slow down and prepare for the release, it means keep doing what you're doing until the release",4,NA,NA,NA
Currently in Vegas. Every club was lit last night!! I don't want to go back to Berkeley,10,NA,NA,NA
One of the main reason why I don't wanna go into politics is because I don't wanna be the Seth Curry of my family.,12,NA,NA,NA
Amazing World of Gumball is so cute,5,NA,NA,NA
I miss Betty White in the Golden Shower Girls <33,1,NA,NA,NA
"Cupcakke - Deepthroat, that is all ~Good vibes~",0,NA,NA,NA
Response time from a Craigslist job post: 2 hr 15 min. Good or bad?,2,NA,NA,NA
"I guess I'll go back to work tomorrow. Really don't want to but I really don't want to starve. Decisions, decisions.",1,NA,NA,NA
Tfw you look through the laundromat windows and see the guy you used to fuck with a new gf,9,NA,NA,NA
I slept with the guy that I've been really into lately. He let me stay over last night and asked me on a date tomorrow. But my mind is more hesitant and negative rather than excited :(,6,NA,NA,NA
Pizza pizza got a lot of luck. He game down just to fuck,1,NA,NA,NA
"Having a nice, lw lazy, not leaving the house Sunday hbu?",1,NA,NA,NA
Anybody ever try Hydroxycut or other weight loss pills? I need to lose 2-3 inches off my waist or buy a new wardrobe :(,8,NA,NA,NA
Ugh do I really need to go get groceries >.<,10,NA,NA,NA
"I miss the old yik yak, Straight from the go yik yak",12,NA,NA,NA
Anybody still care about Pokmon go?,16,NA,NA,NA
Comment college acceptance drama / worries below,9,NA,NA,NA
Why do guys think it's so hot to cum in a girls face? Please help me understand,16,NA,NA,NA
"Much subaverage, suck Davis, wow",0,NA,NA,NA
My reaction: Wow (so salty)!,0,NA,NA,NA
When Davus cowclits turn loose down in SoCal during Spring Break,1,NA,NA,NA
"If you use an emoji every other sentence you type out, you just look autistic to me",5,NA,NA,NA
When your rich sugar daddy donates his entire fortune to Shitschool Davis and its rankings jump from 500 to 40 on US News. And your not a bimbo anymore cuz your actually smrt,0,NA,NA,NA
When a Davis valedictotian who gets a Davis4.0 and meets a Berkeley student who gets a C plus average during a frat party,0,NA,NA,NA
"Berkley teacher shows picture of CSU Davus on lecture slide. ""Now laugh!""",0,NA,NA,NA
Kinda drunk walking home so I took a break at Soda and now I'm just chilling here cause i don't feel like walking the rest of the way back. If you see a passed out guy in Soda tmrw it's probably me,6,NA,NA,NA
"I dont care that a condom doesnt ""feel like the real thing,"" i dont want a fucking baby",6,NA,NA,NA
"The real mnemonic for biological taxonomy is ""Keep protective condoms on for gay sex"". Not some stupid King Phillip shit",1,NA,NA,NA
U ever get so high you feel like you're never gonna sober up and u just keep getting higher so then u start to panic and feel like ur gonna die? One of the worse fucking feeling I've ever had.,6,NA,NA,NA
HOLY SHIT,0,NA,NA,NA
That bar was so fucking lame,3,NA,NA,NA
I can't tell if I just felt an earthquake or not,9,NA,NA,NA
Where are the drugs at tonight? Anyone deliver?,3,NA,NA,NA
"Funny, good looking, smart, great taste in music and beats me at video games..... Found my dream woman tbh. Now all I have to do is get her to notice me lmfao",5,NA,NA,NA
Jesus Christ this app used to be good what the fuck happened,4,NA,NA,NA
I'm so annoyed with myself for buying all white shoes. That was a stupid idea,10,NA,NA,NA
Everything is so dead around here,6,NA,NA,NA
Anyone on south side got a bong and want to blaze? I've got about a gram or two of sour diesel,3,NA,NA,NA
First day of spring break and literally the only party of my sad engineering school year. SP bout to get fucked the fuck up,15,NA,NA,NA
Any parties or functions in the Berkeley area?,0,NA,NA,NA
I can't stop this nausea...,15,NA,NA,NA
Chat isn't working again this app is being weird.,4,NA,NA,NA
TGIF w.,6,NA,NA,NA
Where's the skrrt diddley for tonight,0,NA,NA,NA
What's lit in orinda,4,NA,NA,NA
"Language games are infinite, anyone who thinks otherwise should be killed on the spot",6,NA,NA,NA
It's not all the same and it's not all good,1,NA,NA,NA
